date,year,month,CHL
1998-01-10,1998,1,0.2460021823644638
1998-05-10,1998,5,0.439308762550354
1998-10-10,1998,10,0.20932239294052124
2000-01-10,2000,1,0.6374068260192871
2000-05-10,2000,5,0.14005857706069946
2000-07-10,2000,7,
2000-10-10,2000,10,0.31771111488342285
2002-01-10,2002,1,0.201091930270195
2002-05-10,2002,5,0.13864701986312866
2002-07-10,2002,7,0.112940214574337
2002-10-10,2002,10,0.7316110730171204
2005-01-10,2005,1,0.7578783631324768
2005-05-10,2005,5,0.3187069892883301
2005-07-10,2005,7,0.40534552931785583
2005-10-10,2005,10,0.44093406200408936
2010-01-10,2010,1,0.4702068269252777
2010-05-10,2010,5,0.32539671659469604
2010-07-10,2010,7,0.705711305141449
2010-10-10,2010,10,0.1117490753531456
2012-01-10,2012,1,0.6157824993133545
2012-05-10,2012,5,0.2096165120601654
2012-07-10,2012,7,0.3056006133556366
2012-10-10,2012,10,0.3301926851272583
2018-01-10,2018,1,0.3977869749069214
2018-05-10,2018,5,0.1845998615026474
2018-07-10,2018,7,0.2710844874382019
2018-10-10,2018,10,0.4846819043159485
