date,year,month,SLA
1993-01-01,1993,1,0.11368456549935149
1993-05-01,1993,5,0.07239247730220494
1993-07-01,1993,7,-0.12110920881971467
1993-10-01,1993,10,0.008099092088197146
1994-01-01,1994,1,0.23839130998702987
1994-05-01,1994,5,0.029286900129701688
1994-07-01,1994,7,-0.20248274967574575
1994-10-01,1994,10,0.07012490272373541
1995-01-01,1995,1,0.1733076523994812
1995-05-01,1995,5,0.06050259403372245
1995-07-01,1995,7,-0.14422010376134892
1995-10-01,1995,10,-0.05021206225680933
1996-01-01,1996,1,0.2062686121919585
1996-05-01,1996,5,0.029824902723735416
1996-07-01,1996,7,-0.1519084306095979
1996-10-01,1996,10,-0.02282619974059663
1997-01-01,1997,1,0.18808534370946822
1997-05-01,1997,5,0.022898443579766534
1997-07-01,1997,7,-0.15518754863813228
1997-10-01,1997,10,0.05845214007782101
1998-01-01,1998,1,0.08060674448767834
1998-05-01,1998,5,0.03410402075226979
1998-07-01,1998,7,-0.1333975356679637
1998-10-01,1998,10,-0.04362723735408561
1999-01-01,1999,1,0.1950193255512322
1999-05-01,1999,5,-0.012111673151750975
1999-07-01,1999,7,-0.1705632944228275
1999-10-01,1999,10,-0.08455214007782101
2000-01-01,2000,1,0.11167315175097277
2000-05-01,2000,5,-0.06460894941634242
2000-07-01,2000,7,-0.1597940337224384
2000-10-01,2000,10,-0.08178326848249028
2001-01-01,2001,1,0.07439001297016862
2001-05-01,2001,5,0.0007945525291828789
2001-07-01,2001,7,-0.16835888456549938
2001-10-01,2001,10,-0.06117380025940336
2002-01-01,2002,1,0.08627185473411156
2002-05-01,2002,5,-0.036112970168612195
2002-07-01,2002,7,-0.11616757457846953
2002-10-01,2002,10,0.046206744487678336
2003-01-01,2003,1,0.14150025940337224
2003-05-01,2003,5,0.07703203631647211
2003-07-01,2003,7,-0.17132671854734113
2003-10-01,2003,10,0.015534111543450064
2004-01-01,2004,1,0.17959325551232166
2004-05-01,2004,5,-0.001902723735408561
2004-07-01,2004,7,-0.1315289234760052
2004-10-01,2004,10,0.022294422827496756
2005-01-01,2005,1,0.08078080415045395
2005-05-01,2005,5,0.04726329442282749
2005-07-01,2005,7,-0.15294448767833982
2005-10-01,2005,10,-0.05351867704280156
2006-01-01,2006,1,0.21151219195849544
2006-05-01,2006,5,0.004775226977950714
2006-07-01,2006,7,-0.12755797665369653
2006-10-01,2006,10,0.05219455252918288
2007-01-01,2007,1,0.1131337224383917
2007-05-01,2007,5,0.05561815823605708
2007-07-01,2007,7,-0.13763099870298315
2007-10-01,2007,10,0.008534111543450065
2008-01-01,2008,1,0.19402801556420232
2008-05-01,2008,5,0.05960220492866408
2008-07-01,2008,7,-0.10709429312581063
2008-10-01,2008,10,-0.011534889753566795
2009-01-01,2009,1,0.21468002594033725
2009-05-01,2009,5,0.05934578469520104
2009-07-01,2009,7,-0.10185460440985733
2009-10-01,2009,10,0.03855356679636836
2010-01-01,2010,1,0.22039325551232167
2010-05-01,2010,5,0.11369130998702984
2010-07-01,2010,7,-0.08526549935149157
2010-10-01,2010,10,0.0370988326848249
2011-01-01,2011,1,0.23279027237354086
2011-05-01,2011,5,0.04953566796368353
2011-07-01,2011,7,-0.12160207522697795
2011-10-01,2011,10,-0.007122308690012971
2012-01-01,2012,1,0.11969312581063554
2012-05-01,2012,5,0.13957937743190663
2012-07-01,2012,7,-0.09686264591439689
2012-10-01,2012,10,0.07338690012970168
2013-01-01,2013,1,0.16168975356679638
2013-05-01,2013,5,0.10943994811932556
2013-07-01,2013,7,-0.12104941634241247
2013-10-01,2013,10,-0.013056809338521401
2014-01-01,2014,1,0.26619974059662777
2014-05-01,2014,5,0.062099092088197146
2014-07-01,2014,7,-0.10108923476005188
2014-10-01,2014,10,0.014311154345006486
2015-01-01,2015,1,0.13917963683527887
2015-05-01,2015,5,0.13302451361867706
2015-07-01,2015,7,-0.07598326848249029
2015-10-01,2015,10,0.10023333333333333
2016-01-01,2016,1,0.23252347600518805
2016-05-01,2016,5,0.09542217898832686
2016-07-01,2016,7,-0.03964708171206226
2016-10-01,2016,10,0.044452529182879376
2017-01-01,2017,1,0.198995719844358
2017-05-01,2017,5,0.10203566796368353
2017-07-01,2017,7,-0.06287833981841764
2017-10-01,2017,10,0.013578469520103761
2018-01-01,2018,1,0.1500739299610895
2018-05-01,2018,5,0.12529195849546043
2018-07-01,2018,7,-0.11107989623865112
2018-10-01,2018,10,0.07160492866407264
2019-01-01,2019,1,0.23103385214007785
2019-05-01,2019,5,0.19803800259403376
2019-07-01,2019,7,-0.07676044098573281
2019-10-01,2019,10,0.10318210116731519
2020-01-01,2020,1,0.1304360570687419
2020-05-01,2020,5,0.10471634241245137
2020-07-01,2020,7,-0.03589623865110247
2020-10-01,2020,10,0.06320402075226977
2021-01-01,2021,1,0.337783916990921
2021-05-01,2021,5,0.1361355382619974
2021-07-01,2021,7,-0.03685123216601816
2021-10-01,2021,10,0.02669143968871596
2022-01-01,2022,1,0.2081387808041505
2022-05-01,2022,5,0.05549909208819716
2022-07-01,2022,7,-0.092957457846952
2022-10-01,2022,10,0.08405019455252918
2023-01-01,2023,1,0.28840285343709465
2023-05-01,2023,5,0.17731167315175098
2023-07-01,2023,7,-0.038679507133592736
2023-10-01,2023,10,0.09966770428015564
