date,year,month,SST
1980-01-10,1980,1,25.66571617126465
1980-05-10,1980,5,28.023374557495117
1980-07-10,1980,7,30.232723236083984
1980-10-10,1980,10,29.940448760986328
1981-01-10,1981,1,25.4852294921875
1981-05-10,1981,5,27.896665573120117
1981-07-10,1981,7,29.884254455566406
1981-10-10,1981,10,30.351051330566406
1982-01-10,1982,1,25.592439651489258
1982-05-10,1982,5,26.49468231201172
1982-07-10,1982,7,29.993135452270508
1982-10-10,1982,10,30.507539749145508
1983-01-10,1983,1,24.884782791137695
1983-05-10,1983,5,27.961347579956055
1983-07-10,1983,7,29.9113712310791
1983-10-10,1983,10,29.438961029052734
1984-01-10,1984,1,25.090097427368164
1984-05-10,1984,5,27.651044845581055
1984-07-10,1984,7,29.018301010131836
1984-10-10,1984,10,30.514118194580078
1985-01-10,1985,1,25.7944393157959
1985-05-10,1985,5,27.96466064453125
1985-07-10,1985,7,29.797016143798828
1985-10-10,1985,10,30.198720932006836
1986-01-10,1986,1,25.507408142089844
1986-05-10,1986,5,28.159683227539062
1986-07-10,1986,7,29.434003829956055
1986-10-10,1986,10,30.5695743560791
1987-01-10,1987,1,25.337608337402344
1987-05-10,1987,5,27.22116470336914
1987-07-10,1987,7,29.747610092163086
1987-10-10,1987,10,30.620054244995117
1988-01-10,1988,1,25.767152786254883
1988-05-10,1988,5,27.94432258605957
1988-07-10,1988,7,30.7298526763916
1988-10-10,1988,10,30.242734909057617
1989-01-10,1989,1,25.219097137451172
1989-05-10,1989,5,27.954866409301758
1989-07-10,1989,7,29.233388900756836
1989-10-10,1989,10,30.351491928100586
1990-01-10,1990,1,25.545055389404297
1990-05-10,1990,5,27.795347213745117
1990-07-10,1990,7,30.666645050048828
1990-10-10,1990,10,29.877225875854492
1991-01-10,1991,1,26.20049476623535
1991-05-10,1991,5,27.75564193725586
1991-07-10,1991,7,28.979351043701172
1991-10-10,1991,10,29.353017807006836
1992-01-10,1992,1,24.790443420410156
1992-05-10,1992,5,27.218942642211914
1992-07-10,1992,7,29.948589324951172
1992-10-10,1992,10,30.198156356811523
1993-01-10,1993,1,25.429641723632812
1993-05-10,1993,5,27.762971878051758
1993-07-10,1993,7,30.253807067871094
1993-10-10,1993,10,30.444353103637695
1994-01-10,1994,1,26.167879104614258
1994-05-10,1994,5,28.112350463867188
1994-07-10,1994,7,30.749603271484375
1994-10-10,1994,10,30.44413185119629
1995-01-10,1995,1,25.77634048461914
1995-05-10,1995,5,27.628684997558594
1995-07-10,1995,7,30.548498153686523
1995-10-10,1995,10,31.070213317871094
1996-01-10,1996,1,25.84737205505371
1996-05-10,1996,5,28.936159133911133
1996-07-10,1996,7,30.143239974975586
1996-10-10,1996,10,30.995203018188477
1997-01-10,1997,1,25.941741943359375
1997-05-10,1997,5,27.075916290283203
1997-07-10,1997,7,30.870824813842773
1997-10-10,1997,10,30.279312133789062
1998-01-10,1998,1,25.860000610351562
1998-05-10,1998,5,29.005186080932617
1998-07-10,1998,7,30.331146240234375
1998-10-10,1998,10,30.98422622680664
1999-01-10,1999,1,26.103717803955078
1999-05-10,1999,5,28.553266525268555
1999-07-10,1999,7,30.3548526763916
